"filename", "language", "YAML", "Markdown", "Swift", "C++", "Dart", "CMake", "XML", "JSON", "HTML", "Properties", "Gradle", "comment", "blank", "total"
"c:\Users\ahbaz\StudioProjects\kaio\pubspec.yaml", "YAML", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 14, 91
"c:\Users\ahbaz\StudioProjects\kaio\test\widget_test.dart", "Dart", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 11, 8, 33
"c:\Users\ahbaz\StudioProjects\kaio\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 16, 6, 60
"c:\Users\ahbaz\StudioProjects\kaio\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 1, 36
"c:\Users\ahbaz\StudioProjects\kaio\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 4, 5, 15
"c:\Users\ahbaz\StudioProjects\kaio\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\ahbaz\StudioProjects\kaio\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 25
"c:\Users\ahbaz\StudioProjects\kaio\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 4, 15, 67
"c:\Users\ahbaz\StudioProjects\kaio\windows\runner\flutter_window.h", "C++", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\ahbaz\StudioProjects\kaio\windows\runner\main.cpp", "C++", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\ahbaz\StudioProjects\kaio\windows\runner\resource.h", "C++", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\ahbaz\StudioProjects\kaio\windows\runner\utils.cpp", "C++", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\ahbaz\StudioProjects\kaio\windows\runner\utils.h", "C++", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\ahbaz\StudioProjects\kaio\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\ahbaz\StudioProjects\kaio\windows\runner\win32_window.h", "C++", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 23, 13, 52, 537, 2251, 38, 463, 248, 38, 8, 90, 409, 500, 4670
